ScoreDiff,Inning,BASE1_RUN_ID,BASE2_RUN_ID,BASE3_RUN_ID,Pitcher,OUTS_CT,"Save Pitcher"
3,9,,,,fuenb001,0,"Brian Fuentes"
3,9,,,,fuenb001,0,"Brian Fuentes"
3,9,,,,fuenb001,0,"Brian Fuentes"
3,9,,,,fuenb001,0,"Brian Fuentes"
3,9,,,,fuenb001,0,"Brian Fuentes"
3,9,,,,fuenb001,1,"Brian Fuentes"
3,9,,,,fuenb001,1,"Brian Fuentes"
3,9,,,,fuenb001,1,"Brian Fuentes"
3,9,,,,fuenb001,1,"Brian Fuentes"
3,9,,,,fuenb001,1,"Brian Fuentes"
3,9,,,,fuenb001,2,"Brian Fuentes"
3,9,,,,fuenb001,2,"Brian Fuentes"
3,9,,,,fuenb001,2,"Brian Fuentes"
3,9,,,,fuenb001,2,"Brian Fuentes"
3,9,,,,fuenb001,2,"Brian Fuentes"
2,9,,,,raucj001,0,"Jon Rauch"
2,9,,,,raucj001,0,"Jon Rauch"
2,9,,,,raucj001,0,"Jon Rauch"
2,9,,,,raucj001,0,"Jon Rauch"
2,9,,,,raucj001,1,"Jon Rauch"
2,9,,,,raucj001,1,"Jon Rauch"
2,9,,,,raucj001,1,"Jon Rauch"
2,9,,,,raucj001,1,"Jon Rauch"
2,9,,,,raucj001,2,"Jon Rauch"
2,9,,,,raucj001,2,"Jon Rauch"
2,9,,,,raucj001,2,"Jon Rauch"
2,9,,,,raucj001,2,"Jon Rauch"
2,9,,,,raucj001,0,"Jon Rauch"
2,9,,,,raucj001,0,"Jon Rauch"
2,9,,,,raucj001,0,"Jon Rauch"
2,9,,,,raucj001,0,"Jon Rauch"
2,9,,,,raucj001,1,"Jon Rauch"
2,9,,,,raucj001,1,"Jon Rauch"
2,9,,,,raucj001,1,"Jon Rauch"
2,9,,,,raucj001,1,"Jon Rauch"
2,9,,,,raucj001,2,"Jon Rauch"
2,9,,,,raucj001,2,"Jon Rauch"
2,9,,,,raucj001,2,"Jon Rauch"
2,9,,,,raucj001,2,"Jon Rauch"
2,9,,kendh001,,raucj001,2,"Jon Rauch"
2,9,,kendh001,,raucj001,2,"Jon Rauch"
2,9,,kendh001,,raucj001,2,"Jon Rauch"
2,9,,kendh001,,raucj001,2,"Jon Rauch"
2,9,napom001,,,raucj001,2,"Jon Rauch"
2,9,napom001,,,raucj001,2,"Jon Rauch"
2,9,napom001,,,raucj001,2,"Jon Rauch"
2,9,napom001,,,raucj001,2,"Jon Rauch"
5,7,,,,rosst001,0,"Tyson Ross"
5,7,,,,rosst001,0,"Tyson Ross"
5,7,,,,rosst001,0,"Tyson Ross"
5,7,,,,rosst001,0,"Tyson Ross"
5,7,,,,rosst001,1,"Tyson Ross"
5,7,,,,rosst001,1,"Tyson Ross"
5,7,,,,rosst001,1,"Tyson Ross"
5,7,,,,rosst001,1,"Tyson Ross"
5,7,,,,rosst001,2,"Tyson Ross"
5,7,,,,rosst001,2,"Tyson Ross"
5,7,,,,rosst001,2,"Tyson Ross"
5,7,,,,rosst001,2,"Tyson Ross"
5,8,,,,rosst001,0,"Tyson Ross"
5,8,,,,rosst001,0,"Tyson Ross"
5,8,,,,rosst001,0,"Tyson Ross"
5,8,,,,rosst001,0,"Tyson Ross"
5,8,aybae001,,,rosst001,0,"Tyson Ross"
5,8,aybae001,,,rosst001,0,"Tyson Ross"
5,8,aybae001,,,rosst001,0,"Tyson Ross"
5,8,aybae001,,,rosst001,0,"Tyson Ross"
5,8,,,,rosst001,2,"Tyson Ross"
5,8,,,,rosst001,2,"Tyson Ross"
5,8,,,,rosst001,2,"Tyson Ross"
5,8,,,,rosst001,2,"Tyson Ross"
5,8,huntt001,,,rosst001,2,"Tyson Ross"
5,8,huntt001,,,rosst001,2,"Tyson Ross"
5,8,huntt001,,,rosst001,2,"Tyson Ross"
5,8,huntt001,,,rosst001,2,"Tyson Ross"
5,9,,,,rosst001,0,"Tyson Ross"
5,9,,,,rosst001,0,"Tyson Ross"
5,9,,,,rosst001,0,"Tyson Ross"
5,9,,,,rosst001,0,"Tyson Ross"
5,9,,,,rosst001,1,"Tyson Ross"
5,9,,,,rosst001,1,"Tyson Ross"
5,9,,,,rosst001,1,"Tyson Ross"
5,9,,,,rosst001,1,"Tyson Ross"
5,9,,,,rosst001,1,"Tyson Ross"
5,9,,,,rosst001,1,"Tyson Ross"
5,9,,,,rosst001,1,"Tyson Ross"
5,9,,,,rosst001,1,"Tyson Ross"
5,9,,,,rosst001,2,"Tyson Ross"
5,9,,,,rosst001,2,"Tyson Ross"
5,9,,,,rosst001,2,"Tyson Ross"
5,9,,,,rosst001,2,"Tyson Ross"
2,9,,,,rodnf001,0,"Fernando Rodney"
2,9,,,,rodnf001,0,"Fernando Rodney"
2,9,,,,rodnf001,0,"Fernando Rodney"
2,9,,,,rodnf001,0,"Fernando Rodney"
2,9,,,,rodnf001,1,"Fernando Rodney"
2,9,,,,rodnf001,1,"Fernando Rodney"
2,9,,,,rodnf001,1,"Fernando Rodney"
2,9,,,,rodnf001,1,"Fernando Rodney"
2,9,,,,rodnf001,2,"Fernando Rodney"
2,9,,,,rodnf001,2,"Fernando Rodney"
2,9,,,,rodnf001,2,"Fernando Rodney"
2,9,,,,rodnf001,2,"Fernando Rodney"
1,9,,,,rodnf001,0,"Fernando Rodney"
1,9,,,,rodnf001,0,"Fernando Rodney"
1,9,,,,rodnf001,0,"Fernando Rodney"
1,9,,,,rodnf001,0,"Fernando Rodney"
