SIT_ID,MADE
60102,1
60104,1
60204,1
60304,1
60504,1
60524,1
60904,1
61413.67,1
61423.67,1
62101.33,1
62223.33,1
701003,1
70103,2
701103,1
701203,1
701503,1
70302,1
70303,1
70403,2
70503,3
70603,3
70703,3
70803,1
70903,4
71232.67,1
71322.67,1
71532.67,1
72112.33,1
72312.33,1
80102,5
80112,1
80122,1
80201,1
80202,5
80212,2
80222,1
80302,8
80322,1
80422,1
81101.67,5
81111.67,13
81121.67,6
81131.67,1
81201.67,2
81211.67,5
81221.67,8
81231.67,1
81301.67,2
81311.67,6
81321.67,4
81421.67,6
81431.67,3
81531.67,2
82101.33,8
82111.33,31
82121.33,21
82131.33,1
82201.33,3
82211.33,21
82221.33,22
82231.33,3
82301.33,3
82311.33,12
82321.33,17
82331.33,5
82421.33,7
82431.33,5
82531.33,3
90101,936
90111,6
90121,1
90201,929
90211,13
90221,4
90301,748
90311,16
90321,3
90331,1
90421,32
90431,1
100101,57
100201,25
100301,9
110101,25
110111,1
110121,2
110201,21
110301,3
120101,12
120201,8
120301,2
130101,3
130201,4
140101,5
140201,4
140301,1
150101,3
160101,1
180201,1
200101,2
