gID,scoreDiff,inning,"Current Outs",onFirst,onSecond,onThird,pID,name
ANA201004050,3,9,0,,,,fuenb001,"Brian Fuentes"
ANA201004050,3,9,1,,,,fuenb001,"Brian Fuentes"
ANA201004050,3,9,2,,,,fuenb001,"Brian Fuentes"
ANA201004230,2,9,0,,,,fuenb001,"Brian Fuentes"
ANA201004230,2,9,1,,,,fuenb001,"Brian Fuentes"
ANA201004230,2,9,2,,,,fuenb001,"Brian Fuentes"
ANA201004260,3,9,0,,,,fuenb001,"Brian Fuentes"
ANA201004260,3,9,1,,,,fuenb001,"Brian Fuentes"
ANA201004260,3,9,1,hafnt001,,,fuenb001,"Brian Fuentes"
ANA201004260,3,9,2,hafnt001,,,fuenb001,"Brian Fuentes"
ANA201004260,3,9,2,keara001,hafnt001,,fuenb001,"Brian Fuentes"
ANA201006220,3,9,0,,,,fuenb001,"Brian Fuentes"
ANA201006220,3,9,0,carrj001,,,fuenb001,"Brian Fuentes"
ANA201006220,3,9,1,carrj001,,,fuenb001,"Brian Fuentes"
ANA201006220,3,9,1,,carrj001,,fuenb001,"Brian Fuentes"
ANA201006220,3,9,2,,carrj001,,fuenb001,"Brian Fuentes"
ANA201006230,1,9,0,,,,fuenb001,"Brian Fuentes"
ANA201006230,1,9,0,kempm001,,,fuenb001,"Brian Fuentes"
ANA201006230,1,9,0,johnr008,kempm001,,fuenb001,"Brian Fuentes"
ANA201006230,1,9,1,johnr008,kempm001,,fuenb001,"Brian Fuentes"
ANA201006230,1,9,2,johnr008,,,fuenb001,"Brian Fuentes"
ANA201006230,1,9,2,martr004,johnr008,,fuenb001,"Brian Fuentes"
ANA201006260,2,9,0,,,,fuenb001,"Brian Fuentes"
ANA201006260,2,9,1,,,,fuenb001,"Brian Fuentes"
ANA201006260,2,9,1,moram002,,,fuenb001,"Brian Fuentes"
ANA201006290,1,9,0,,,,fuenb001,"Brian Fuentes"
ANA201006290,1,9,1,,,,fuenb001,"Brian Fuentes"
ANA201006290,1,9,2,,,,fuenb001,"Brian Fuentes"
