Pitcher_ID,year,SaveRating,made,blown,attempts
A.J. Ramos,2013,-4.0,0,2,2
Aaron Crow,2011,-3.834862385321101,0,2,2
Aaron Crow,2012,0.6985518229896046,2,2,4
Aaron Crow,2013,1.027749229188078,1,0,1
Aaron Heilman,2010,3.148997225090479,3,0,3
Aaron Loup,2013,0.8331388564760793,1,1,2
Adam Ottavino,2012,-1.1668611435239207,0,1,1
Adam Warren,2013,3.0030030030030033,1,0,1
Addison Reed,2012,16.91359223847008,23,1,24
Addison Reed,2013,-56.661093254731355,37,3,40
Al Alburquerque,2012,-2.3337222870478413,0,2,2
Alex Burnett,2010,-1.1668611435239207,0,1,1
Alex Hinshaw,2012,-1.1668611435239207,0,1,1
Alexander Torres,2013,-1.1668611435239207,0,1,1
Alexi Ogando,2010,-2.0,0,1,1
Alexi Ogando,2011,-1.1668611435239207,0,1,1
Alexi Ogando,2012,-2.9364370254948113,3,3,6
Alfredo Aceves,2011,2.506755631193413,2,2,4
Alfredo Aceves,2012,-14.731296714509863,23,2,25
Alfredo Simon,2010,12.903733420056176,15,1,16
Alfredo Simon,2012,1.059322033898305,1,0,1
Alfredo Simon,2013,-2.0,0,1,1
Andrew Bailey,2010,21.296304489554398,23,1,24
Andrew Bailey,2011,16.468341509265787,23,1,24
Andrew Bailey,2012,6.315742421076353,6,0,6
Andrew Bailey,2013,-18.14687732771654,8,1,9
Andrew Cashner,2010,-2.0,0,1,1
Andrew Cashner,2012,-1.4992503748125936,0,1,1
Andy Sonnanstine,2010,1.160092807424594,1,0,1
Andy Sonnanstine,2011,-1.1668611435239207,0,1,1
Anthony Slama,2010,-1.1668611435239207,0,1,1
Anthony Swarzak,2013,-1.4992503748125936,0,1,1
Anthony Varvaro,2011,-2.0,0,1,1
Antonio Bastardo,2011,3.160162370032759,3,0,3
Antonio Bastardo,2012,-2.140446489466356,1,2,3
Antonio Bastardo,2013,-2.983870967741936,2,1,3
Arodys Vizcaino,2011,-1.4992503748125936,0,1,1
Aroldis Chapman,2012,8.32507644853268,8,0,8
Aroldis Chapman,2013,30.32375259984443,28,0,28
Arthur Rhodes,2010,-2.0,0,1,1
Arthur Rhodes,2011,-1.41643059490085,0,1,1
Bill Bray,2011,-4.0,0,2,2
Billy Wagner,2010,-78.39424486770821,16,3,19
Blake Beavan,2013,-1.1668611435239207,0,1,1
Blake Hawksworth,2011,-1.4992503748125936,0,1,1
Blake Parker,2013,1.160092807424594,1,0,1
Blake Wood,2010,-1.41643059490085,0,1,1
Blake Wood,2011,0.197802197802198,1,1,2
Bobby Jenks,2010,-119.4618367879699,22,2,24
Bobby Jenks,2011,-2.0,0,1,1
Bobby Parnell,2011,1.0080645161290323,1,0,1
Bobby Parnell,2012,-20.77783487495719,2,2,4
Bobby Parnell,2013,9.334440227703984,9,0,9
Boone Logan,2010,-1.1668611435239207,0,1,1
Boone Logan,2012,-0.9406779661016951,1,1,2
Brad Bergesen,2012,-1.4992503748125936,0,1,1
Brad Brach,2012,-2.0,0,1,1
Brad Lidge,2010,-4.390148232542714,12,1,13
Brad Lidge,2011,1.027749229188078,1,0,1
Brad Lidge,2012,1.050420168067227,1,0,1
Brad Thompson,2010,-1.4992503748125936,0,1,1
Brad Ziegler,2010,-4.0,0,2,2
Brad Ziegler,2011,1.0351966873706004,1,0,1
Brad Ziegler,2013,2.078169397255305,2,0,2
Brandon Kintzler,2012,-1.4992503748125936,0,1,1
Brandon Kintzler,2013,-2.0,0,1,1
Brandon League,2010,0.15678439890837703,5,3,8
Brandon League,2011,35.20729980460224,34,0,34
Brandon League,2012,10.584661474529403,12,1,13
Brandon League,2013,8.25063722402398,8,0,8
Brandon Lyon,2010,8.25063722402398,8,0,8
Brandon Lyon,2011,2.100840336134454,2,0,2
Brandon Lyon,2012,1.050420168067227,1,0,1
Brandon Lyon,2013,-1.41643059490085,0,1,1
Brandon Maurer,2013,-1.1668611435239207,0,1,1
Brandon Workman,2013,-2.0,0,1,1
Brett Anderson,2013,6.0,3,0,3
Brett Cecil,2013,1.0395010395010396,1,0,1
Brett Myers,2012,-13.610445338497446,7,1,8
Brett Tomko,2011,-2.666111518336514,0,2,2
Brian Duensing,2012,-1.4992503748125936,0,1,1
Brian Fuentes,2010,19.682647962358573,22,1,23
Brian Fuentes,2011,-7.980099688334047,12,1,13
Brian Fuentes,2012,5.12949511688397,5,0,5
Brian Matusz,2013,-2.915680969713444,0,2,2
Brian Omogrosso,2012,-1.1668611435239207,0,1,1
Brian Sanches,2010,-1.1668611435239207,0,1,1
Brian Sweeney,2010,-1.4992503748125936,0,1,1
Brian Tallet,2010,-1.4992503748125936,0,1,1
Brian Wilson,2010,26.54723957881934,26,1,27
Brian Wilson,2011,10.453744574500048,10,0,10
Brian Wilson,2012,1.0080645161290323,1,0,1
Bruce Chen,2013,-2.0,0,1,1
Bruce Rondon,2013,-2.915680969713444,0,2,2
Bryan Morris,2013,-1.41643059490085,0,1,1
Bryan Shaw,2012,-2.940677966101695,1,2,3
Bryan Shaw,2013,1.5037526281904097,1,1,2
Burke Badenhop,2011,-1.1668611435239207,0,1,1
Carlos Marmol,2010,6.43666493301676,17,1,18
Carlos Marmol,2011,13.695767444571963,13,0,13
Carlos Marmol,2012,8.208281572085784,8,0,8
Carlos Marmol,2013,2.058484684196259,2,0,2
Carlos Torres,2012,-2.3337222870478413,0,2,2
Carlos Villanueva,2010,-20.833333333333346,0,1,1
Carlos Villanueva,2011,-3.1668611435239207,0,2,2
Casey Fien,2013,-2.0,0,1,1
Casey Janssen,2011,3.0277492291880783,2,0,2
Casey Janssen,2012,-21.291854587517147,21,3,24
Casey Janssen,2013,-28.787571933413766,28,2,30
Cesar Ramos,2013,2.0,1,0,1
Chad Durbin,2010,-2.0,0,1,1
Chad Qualls,2010,1.1059186264433833,3,1,4
